"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",124,47007623,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007803,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007702,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007622,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007802,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007701,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007621,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007801,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007700,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007620,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007800,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007699,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007619,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007799,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007698,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007618,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007798,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007697,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007617,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007797,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007696,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007616,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007796,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007695,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007615,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007795,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007694,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007614,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007794,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007693,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007613,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007793,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007692,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007715,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007792,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007691,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007714,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007791,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007690,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007713,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007790,"Stadionstraße","",1,,938,1,0
